EmployeeID,FullName,Gender,Age,DateOfBirth,DateOfJoining,Department,JobRole,EmploymentType,EmployeeStatus,ManagerID,ManagerName,EducationLevel,MaritalStatus,Location,Country,WorkShift,ExperienceInCurrentRole (Years),TotalExperience (Years),PreviousCompany,PreviousJobRole,Salary,HourlyRate,Bonus,OverTime,PromotionLast5Years,TrainingHours,LeaveBalance,SickLeavesTaken,PerformanceRating,LastAppraisalDate,JobSatisfaction,Attrition,ExitDate,ExitReason,EngagementScore,RemoteWork,WorkFromHomeDays,DisciplinaryAction,DiversityCategory,Certifications,Skills,RecruitmentSource,CostToCompany (CTC),RetentionRiskScore
1,Joshua Ramirez,Male,39,08-06-1997,28-11-2023,Marketing,HR Manager,Part-time,Resigned,2,Glen Beck,Master's,Divorced,East Douglasside,India,Night,3,13,Potts-Harris,Data Analyst,103517,646.98,12062,Yes,No,36,6,3,3,29-06-2024,1,Yes,15-09-2023,Layoff,79,No,2,No,Women,3,"explain, growth, pull",Referral,158036,0.27
2,Jacqueline Luna,Female,40,05-05-1997,03-12-2020,Marketing,Sales Executive,Full-time,Active,4,Erica Ramos,Diploma,Divorced,South Matthewbury,India,Night,10,8,Morris LLC,Marketing Specialist,50267,314.17,46423,Yes,Yes,67,5,9,3,27-05-2024,4,No,,,77,Yes,9,Yes,LGBTQ+,2,"draw, try, again",Agency,222496,0.15
3,Daniel Gonzales,Female,54,26-02-2002,18-09-2018,Operations,Operations Coordinator,Intern,Active,6,Christopher Gray,Bachelor's,Married,New Ambermouth,India,Night,0,15,Hale Ltd,Operations Coordinator,96401,602.51,16431,No,Yes,84,30,1,2,12-04-2025,1,No,,,99,Yes,14,Yes,Women,4,"training, big, learn",Campus,231862,0.68
4,James Anderson,Male,34,13-12-2002,30-09-2015,Operations,Operations Coordinator,Contract,Terminated,8,Stephanie Small,Diploma,Single,East Danafort,India,Night,10,2,"Harris, Martinez and Bailey",Sales Executive,109989,687.43,14143,Yes,No,5,2,9,4,24-02-2025,4,Yes,05-03-2024,Better opportunity,68,Yes,8,No,None,2,"east, second, trade",Agency,290915,0.26
5,Jodi Salazar,Male,27,29-08-1967,20-11-2015,HR,Marketing Specialist,Part-time,Active,9,Dustin Barry,Master's,Divorced,New Paulafurt,India,Night,3,2,Soto-Clark,Operations Coordinator,72834,455.21,33717,Yes,No,50,1,1,1,04-11-2024,5,No,,,87,No,13,No,PwD,1,"structure, I, even",Referral,238985,0.34
6,Anthony Johnson,Male,55,12-01-1966,10-11-2019,Operations,Accountant,Full-time,Active,9,Debra Henderson,PhD,Married,Port James,India,Rotational,4,14,Walter Ltd,Operations Coordinator,63518,396.99,15347,Yes,No,68,2,2,5,15-12-2024,2,No,,,82,Yes,20,Yes,None,1,"crime, others, evening",Referral,196229,0.27
7,Hunter Baker,Female,33,16-05-1986,02-11-2021,Operations,Operations Coordinator,Full-time,Resigned,7,Joseph Carpenter,PhD,Married,Larrybury,India,Rotational,1,13,"Hoover, Sanchez and Franklin",HR Manager,32922,205.76,20662,Yes,Yes,69,25,8,2,15-01-2025,4,Yes,31-12-2024,Layoff,69,No,2,Yes,PwD,5,"when, itself, foot",Job Portal,143759,0.66
8,Gloria Stevens,Female,30,27-10-1966,16-10-2023,Sales,Data Analyst,Part-time,Active,8,Deborah Turner,Bachelor's,Single,Coryland,India,Day,0,7,"Marks, Bates and Mooney",Operations Coordinator,74946,468.41,17108,Yes,No,48,3,2,5,18-08-2024,3,No,,,59,No,16,No,LGBTQ+,2,"carry, word, still",Job Portal,218606,0.86
9,David Murphy,Female,34,25-10-1999,20-07-2015,Finance,Operations Coordinator,Full-time,Active,7,Jeffrey Kaufman,Bachelor's,Single,Staceychester,India,Day,10,1,"Cunningham, Flynn and Fox",HR Manager,36375,227.34,16145,Yes,No,81,27,2,2,18-02-2025,3,No,,,65,No,14,Yes,Women,5,"may, guess, there",Job Portal,225302,0.7
10,Alexander Sparks,Female,60,13-03-1992,01-01-2019,Sales,Accountant,Full-time,Active,8,Brian Dunlap,PhD,Married,Lake Andrea,India,Rotational,1,16,"Goodman, Castro and Davis",Accountant,90351,564.69,12331,Yes,No,27,8,3,5,03-03-2025,5,No,,,74,Yes,14,Yes,Veteran,5,"important, treatment, these",Agency,145305,0.67
11,Jacqueline Shepherd,Female,45,19-12-1990,13-03-2019,Finance,Data Analyst,Contract,Resigned,6,Karen Harvey,Diploma,Single,Donaldside,India,Rotational,7,20,"Watson, Mcintosh and Chapman",Sales Executive,41645,260.28,47596,Yes,Yes,40,23,9,2,14-03-2025,1,Yes,28-04-2025,Relocation,58,No,0,No,Women,5,"spring, heavy, ago",Agency,110884,0.13
12,Tanya Meyer,Male,54,06-07-1984,04-10-2016,IT,Sales Executive,Intern,Active,1,Rachel Parker,Diploma,Divorced,Lake Dylantown,India,Day,5,5,"Smith, Estrada and Barnett",HR Manager,59354,370.96,13852,No,No,58,3,9,2,12-10-2024,5,No,,,89,Yes,1,Yes,Women,0,"pretty, economy, truth",Referral,130182,0.65
13,Yvonne Daniels,Male,50,11-04-1979,22-02-2019,Operations,Marketing Specialist,Part-time,Resigned,6,April Johnson,PhD,Married,North Aaronstad,India,Rotational,0,3,Williamson Inc,Accountant,37413,233.83,38993,Yes,Yes,43,2,4,1,17-07-2024,5,Yes,10-01-2024,Better opportunity,80,Yes,16,Yes,Women,0,"best, those, catch",Agency,237005,0.85
14,Melissa Rodriguez,Female,32,19-09-1991,30-09-2018,IT,Data Analyst,Part-time,Active,4,Ana Jenkins,Diploma,Single,South Keithland,India,Night,9,18,"Miller, Gibson and Thomas",Operations Coordinator,87641,547.76,44239,Yes,Yes,95,4,2,1,21-04-2025,1,No,,,99,No,10,No,None,2,"south, trial, wall",Referral,199440,0.67
